group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
learning_rate,visit_count,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,visit_count,mc,A1_grid,3,1.0,-19.0,30.0,0.008547,13471,True,7.063
learning_rate,visit_count,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,2886,True,1.844
learning_rate,visit_count,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.078
learning_rate,visit_count,mc,A1_grid,4,1.0,-17.0,28.0,0.008547,14468,True,7.678
learning_rate,visit_count,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,4388,True,2.729
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.08
mc_episode_length,max_episode_length=500,mc,A1_grid,0,1.0,-17.0,28.0,0.008547,26610,True,13.831
mc_episode_length,max_episode_length=500,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,4761,True,2.931
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,1,1.0,-17.0,28.0,0.008547,27885,True,14.605
mc_episode_length,max_episode_length=500,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5147,True,3.174
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,2,1.0,-17.0,28.0,0.008547,32074,True,16.529
mc_episode_length,max_episode_length=500,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,4658,True,2.974
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,3,1.0,-19.0,30.0,0.017094,23222,True,12.283
mc_episode_length,max_episode_length=500,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,6447,True,3.879
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,4,1.0,-17.0,28.0,0.008547,29298,True,15.218
mc_episode_length,max_episode_length=500,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,4600,True,2.829
mc_episode_length,max_episode_length=5000,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.075
mc_episode_length,max_episode_length=5000,mc,A1_grid,0,1.0,-19.0,30.0,0.008547,29426,True,15.468
mc_episode_length,max_episode_length=5000,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,4613,True,2.842
mc_episode_length,max_episode_length=5000,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=5000,mc,A1_grid,1,1.0,-17.0,28.0,0.017094,28568,True,14.982
mc_episode_length,max_episode_length=5000,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5502,True,3.359
mc_episode_length,max_episode_length=5000,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.075
mc_episode_length,max_episode_length=5000,mc,A1_grid,2,1.0,-17.0,28.0,0.008547,31669,True,16.462
mc_episode_length,max_episode_length=5000,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,3763,True,2.32
mc_episode_length,max_episode_length=5000,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
mc_episode_length,max_episode_length=5000,mc,A1_grid,3,1.0,-19.0,30.0,0.017094,28531,True,14.867
mc_episode_length,max_episode_length=5000,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,6395,True,3.84
mc_episode_length,max_episode_length=5000,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.077
mc_episode_length,max_episode_length=5000,mc,A1_grid,4,1.0,-17.0,28.0,0.008547,31599,True,16.478
mc_episode_length,max_episode_length=5000,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,4007,True,2.477
